epoch,loss,val_loss,emotion_loss,val_emotion_loss,gender_loss,val_gender_loss,age_loss,val_age_loss,emotion_acc,val_emotion_acc,gender_acc,val_gender_acc,age_acc,val_age_acc,emotion_fairness,gender_fairness,age_fairness
1,7.737572193145752,7.132147312164307,2.084585666656494,1.7904030084609985,0.7310315370559692,0.6899434328079224,1.769369125366211,1.5822257995605469,0.1960158795118332,0.4013279378414154,0.5201484560966492,0.5263740420341492,0.2038278728723526,0.29878273606300354,0.0,0.8668485312640434,0.7782970297029703
2,6.558340072631836,5.844210624694824,1.7090307474136353,1.5360604524612427,0.7150614857673645,0.678061306476593,1.583759069442749,1.48712158203125,0.3702232837677002,0.4577646553516388,0.5250959992408752,0.5584655404090881,0.2827940881252289,0.32534119486808777,0.0,0.904040929979852,0.7527675276752768
3,5.296652793884277,4.595733165740967,1.5794250965118408,1.4433244466781616,0.6919596195220947,0.6746573448181152,1.5093165636062622,1.4553089141845703,0.41436102986335754,0.47731465101242065,0.5482065081596375,0.5890815258026123,0.3025844693183899,0.3625968396663666,0.0,0.9177138171381714,0.7346483968121956
4,4.186522960662842,3.6445000171661377,1.5219122171401978,1.408499002456665,0.6832614541053772,0.6741642355918884,1.4752347469329834,1.4448840618133545,0.4295293390750885,0.48948726058006287,0.5592083930969238,0.5817041397094727,0.32615065574645996,0.34894871711730957,0.0,0.9210844756783314,0.7305338876173572
5,3.41456937789917,3.06428599357605,1.4864872694015503,1.3929071426391602,0.6786822080612183,0.6739523410797119,1.4566802978515625,1.4376020431518555,0.43688562512397766,0.484323114156723,0.5674760937690735,0.5887126326560974,0.3327908217906952,0.35817041993141174,0.0,0.911880629723328,0.8034021147386362
6,3.0078656673431396,2.799407482147217,1.4710617065429688,1.3861842155456543,0.6777356266975403,0.6754060387611389,1.451056957244873,1.435692310333252,0.441442608833313,0.49834010004997253,0.5732699632644653,0.5780155062675476,0.3370874226093292,0.35927700996398926,0.0,0.9088623428607167,0.7735445507321316
7,2.8178999423980713,2.6695568561553955,1.4654910564422607,1.3825562000274658,0.6778261661529541,0.6754672527313232,1.45033597946167,1.4346662759780884,0.44580429792404175,0.4961268901824951,0.5764598846435547,0.5735890865325928,0.3441182076931,0.3541128635406494,0.0,0.9030705073670255,0.7719871241265605
8,2.7215027809143066,2.59793758392334,1.4633921384811401,1.3768327236175537,0.6774754524230957,0.6760922074317932,1.4473110437393188,1.435808539390564,0.4448278248310089,0.49059388041496277,0.5724887847900391,0.5791220664978027,0.3406028151512146,0.3544817268848419,0.0,0.8952471063172169,0.809142188338183
9,2.669865369796753,2.559617757797241,1.4604241847991943,1.3784211874008179,0.678244411945343,0.6727601289749146,1.4496601819992065,1.4337252378463745,0.4429399073123932,0.4931759536266327,0.5739209651947021,0.5912947058677673,0.338259220123291,0.3500553369522095,0.0,0.8917467392495706,0.8025098753190175
10,2.633362054824829,2.528231382369995,1.4549994468688965,1.366283655166626,0.6780540943145752,0.6720486879348755,1.4445700645446777,1.43759286403656,0.44964519143104553,0.5023976564407349,0.5748974680900574,0.5894503593444824,0.3405377268791199,0.351899653673172,0.0,0.8923247232472324,0.8131848780526851
