Emotion,Difference,Ratio
neutral,0.0018816971156380702,0.9852663115845539
happiness,0.09912283834410657,0.774380283652804
surprise,0.024765616895650405,0.8760068114091103
sadness,0.047935234927291515,0.830191691366057
anger,0.028778997097101692,0.3996381438910174
disgust,0.0012227204935777415,0.5213049267643143
fear,0.0007474070332787448,0.7193486590038314
