Metric,Value
Overall Accuracy,0.6606910039113429
Emotion Fairness Score,0.030347753897241952
Gender Fairness Score,0.885647603681709
Age Fairness Score,0.8237282926079607
Intersectional Fairness Score,0.684768740031898
Gender Prediction Accuracy,0.5792046936114733
Age Prediction Accuracy,0.36962190352020863
Gender AUC,0.6115896131679686
Age AUC,0.6484377966870282
