Emotion,TPR_Difference,FPR_Difference,Equalized_Odds_Score
neutral,0.080284235032489,0.002420715249662614,0.9586475248589242
happiness,0.030373420617322955,0.001275900785954881,0.9841753392983611
surprise,0.03713968957871394,0.028831103984021667,0.9670146032186322
sadness,0.002662695979679497,0.0480078253453578,0.9746647393374813
anger,0.0009771350400625267,0.004213531822728764,0.9974046665686044
disgust,0.013283325519612442,0.0006724949562878278,0.9930220897620499
fear,0.05714285714285714,0.002080940133124808,0.970388101362009
