epoch,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt
1,0.8871071199486851,0.6843501326259946,0.5539033457249071,0.300187617260788,0.5053763440860215,0.034482758620689655,0.2755102040816326,0.12
2,0.8736369467607441,0.6825817860300619,0.5594795539033457,0.3058161350844278,0.5456989247311828,0.034482758620689655,0.30612244897959184,0.12
3,0.8569595894804362,0.6808134394341291,0.5762081784386617,0.3058161350844278,0.5672043010752689,0.10344827586206896,0.3163265306122449,0.16
4,0.8396407953816549,0.6808134394341291,0.5780669144981413,0.2945590994371482,0.5752688172043011,0.1724137931034483,0.3673469387755102,0.2
5,0.8319435535599743,0.6816976127320955,0.5743494423791822,0.28893058161350843,0.5698924731182796,0.1724137931034483,0.42857142857142855,0.24
6,0.812700449005773,0.6772767462422635,0.5687732342007435,0.2682926829268293,0.5967741935483871,0.1724137931034483,0.45918367346938777,0.24
7,0.8024374599101989,0.6772767462422635,0.5724907063197026,0.25328330206378985,0.5967741935483871,0.20689655172413793,0.4897959183673469,0.28
8,0.796023091725465,0.6772767462422635,0.5724907063197026,0.23639774859287055,0.5994623655913979,0.2413793103448276,0.5102040816326531,0.32
9,0.7889672867222579,0.6755083996463307,0.570631970260223,0.2270168855534709,0.5779569892473119,0.2413793103448276,0.5306122448979592,0.36
10,0.790891597177678,0.6772767462422635,0.570631970260223,0.21951219512195122,0.5752688172043011,0.2413793103448276,0.5306122448979592,0.36
11,0.7921744708146248,0.6781609195402298,0.5743494423791822,0.21575984990619138,0.5806451612903226,0.2413793103448276,0.5204081632653061,0.36
12,0.7921744708146248,0.6781609195402298,0.5743494423791822,0.2026266416510319,0.5860215053763441,0.2413793103448276,0.5510204081632653,0.32
13,0.7985888389993585,0.6825817860300619,0.5780669144981413,0.20637898686679174,0.5806451612903226,0.2413793103448276,0.5612244897959183,0.32
14,0.8011545862732521,0.6834659593280283,0.5780669144981413,0.20825515947467166,0.5940860215053764,0.2413793103448276,0.5612244897959183,0.32
15,0.7973059653624118,0.6825817860300619,0.5780669144981413,0.2045028142589118,0.5994623655913979,0.2413793103448276,0.5612244897959183,0.32
16,0.8050032071840924,0.6825817860300619,0.5799256505576208,0.20637898686679174,0.5994623655913979,0.2413793103448276,0.5612244897959183,0.32
17,0.8075689544579859,0.6825817860300619,0.5799256505576208,0.20825515947467166,0.5967741935483871,0.2413793103448276,0.5612244897959183,0.28
18,0.8069275176395125,0.6825817860300619,0.5836431226765799,0.20825515947467166,0.6048387096774194,0.2413793103448276,0.5612244897959183,0.28
19,0.8082103912764592,0.6834659593280283,0.5836431226765799,0.2101313320825516,0.6021505376344086,0.2413793103448276,0.5612244897959183,0.28
20,0.8088518280949326,0.6834659593280283,0.5836431226765799,0.20825515947467166,0.6021505376344086,0.2413793103448276,0.5612244897959183,0.28
21,0.804361770365619,0.6825817860300619,0.5855018587360595,0.20825515947467166,0.6021505376344086,0.2413793103448276,0.5612244897959183,0.28
22,0.8075689544579859,0.6825817860300619,0.5855018587360595,0.20637898686679174,0.6021505376344086,0.2413793103448276,0.5612244897959183,0.28
23,0.8075689544579859,0.6825817860300619,0.587360594795539,0.2101313320825516,0.6021505376344086,0.2413793103448276,0.5612244897959183,0.28
24,0.8101347017318794,0.6834659593280283,0.587360594795539,0.2101313320825516,0.6021505376344086,0.2413793103448276,0.5612244897959183,0.28
25,0.8114175753688262,0.6843501326259946,0.5892193308550185,0.21200750469043153,0.5994623655913979,0.2413793103448276,0.5612244897959183,0.28
26,0.809493264913406,0.6870026525198939,0.5910780669144982,0.20825515947467166,0.5994623655913979,0.2413793103448276,0.5612244897959183,0.28
27,0.8082103912764592,0.6878868258178603,0.5966542750929368,0.20825515947467166,0.6048387096774194,0.2413793103448276,0.5816326530612245,0.28
28,0.8101347017318794,0.6843501326259946,0.6003717472118959,0.20637898686679174,0.6021505376344086,0.2413793103448276,0.5816326530612245,0.28
29,0.809493264913406,0.6878868258178603,0.604089219330855,0.2045028142589118,0.6021505376344086,0.2413793103448276,0.5816326530612245,0.28
30,0.8107761385503528,0.6843501326259946,0.6003717472118959,0.20825515947467166,0.6021505376344086,0.2413793103448276,0.5816326530612245,0.28
31,0.8871071199486851,0.6843501326259946,0.5539033457249071,0.300187617260788,0.5053763440860215,0.034482758620689655,0.2755102040816326,0.12
