epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7154561281204224,0.8667444586753845,0.7926371097564697,0.37150365114212036
2,0.7421027421951294,0.8662776947021484,0.7054855227470398,0.3801827132701874
3,0.7683195471763611,0.8662776947021484,0.6386653184890747,0.39346960186958313
4,0.7828784584999084,0.8595099449157715,0.5964818000793457,0.40716496109962463
5,0.7930858731269836,0.8546090722084045,0.5724795460700989,0.4170137345790863
6,0.7995863556861877,0.8515752553939819,0.5564336776733398,0.42039725184440613
7,0.8009562492370605,0.8506417870521545,0.5477986335754395,0.4211864769458771
8,0.8050392270088196,0.8525087237358093,0.5392524003982544,0.41685277223587036
9,0.8090147376060486,0.8527421355247498,0.5290793776512146,0.4155721664428711
10,0.8104652166366577,0.8527421355247498,0.522239625453949,0.41135331988334656
11,0.8128558993339539,0.8525087237358093,0.5152341723442078,0.4095316529273987
12,0.8140377998352051,0.8527421355247498,0.5079510807991028,0.40690672397613525
13,0.8130439519882202,0.8532088398933411,0.5100923776626587,0.4064835011959076
14,0.8185774087905884,0.8532088398933411,0.5007398128509521,0.40357595682144165
15,0.818389356136322,0.8527421355247498,0.5005201101303101,0.4024912118911743
16,0.8206994533538818,0.8543757200241089,0.49491697549819946,0.40055447816848755
17,0.8209680914878845,0.8541423678398132,0.49187517166137695,0.39913707971572876
18,0.8226872086524963,0.8550758361816406,0.4898403286933899,0.3995247781276703
19,0.8241914510726929,0.8550758361816406,0.4823651611804962,0.3995893895626068
20,0.8237617015838623,0.8560093641281128,0.483294814825058,0.3980411887168884
21,0.8229021430015564,0.8567094802856445,0.48579835891723633,0.398118257522583
22,0.8245406746864319,0.8571761846542358,0.4834475517272949,0.3962693214416504
23,0.8241108655929565,0.8560093641281128,0.4776167571544647,0.39452892541885376
24,0.8254539370536804,0.8567094802856445,0.4771849811077118,0.3953091502189636
25,0.8279520869255066,0.8562427163124084,0.4757942259311676,0.3948782682418823
26,0.8278446197509766,0.8564760684967041,0.47260546684265137,0.3938113749027252
27,0.8259374499320984,0.8571761846542358,0.4718748927116394,0.3936428129673004
28,0.8294026255607605,0.8569428324699402,0.47085410356521606,0.393451988697052
29,0.8291876912117004,0.8583430647850037,0.4703257381916046,0.3926536440849304
30,0.8267433047294617,0.8576429486274719,0.4719070792198181,0.39381143450737
31,0.8280326724052429,0.8583430647850037,0.4672912359237671,0.39152052998542786
