epoch,gender_fairness,age_fairness,emotion_fairness,gender_male,gender_female,age_child_0_12,age_teen_13_19,age_young_adult_20_40,age_adult_41_60,age_senior_60+,emotion_neutral,emotion_happiness,emotion_surprise,emotion_sadness,emotion_anger,emotion_disgust,emotion_fear,emotion_contempt
1,0.8668485312640434,0.7782970297029703,0.0,0.3726937269372694,0.4299410029498525,0.45955882352941174,0.40047961630695444,0.35767326732673266,0.3800738007380074,0.3984375,0.05570291777188329,0.7633053221288515,0.21352313167259787,0.5694050991501416,0.0,0.0,0.0,0.0
2,0.904040929979852,0.7527675276752768,0.0,0.43468634686346863,0.4808259587020649,0.5294117647058824,0.4460431654676259,0.42945544554455445,0.3985239852398524,0.46875,0.013262599469496022,0.7787114845938375,0.5551601423487544,0.5212464589235127,0.0,0.0,0.0,0.0
3,0.9177138171381714,0.7346483968121956,0.0,0.45682656826568263,0.497787610619469,0.5600490196078431,0.47002398081534774,0.4405940594059406,0.4114391143911439,0.484375,0.050397877984084884,0.7661064425770309,0.5587188612099644,0.5864022662889519,0.0,0.0,0.0,0.0
4,0.9210844756783314,0.7305338876173572,0.0,0.4693726937269373,0.5095870206489675,0.5808823529411765,0.486810551558753,0.4405940594059406,0.42435424354243545,0.5,0.10875331564986737,0.7366946778711485,0.5818505338078291,0.6048158640226629,0.0380952380952381,0.018518518518518517,0.0,0.0
5,0.911880629723328,0.8034021147386362,0.0,0.4619926199261993,0.5066371681415929,0.5465686274509803,0.4724220623501199,0.4603960396039604,0.43911439114391143,0.46875,0.16445623342175067,0.8011204481792717,0.6156583629893239,0.4631728045325779,0.0380952380952381,0.018518518518518517,0.0,0.0
6,0.9088623428607167,0.7735445507321316,0.0,0.4745387453874539,0.5221238938053098,0.5772058823529411,0.4844124700239808,0.4603960396039604,0.44649446494464945,0.5,0.15119363395225463,0.7436974789915967,0.6565836298932385,0.5509915014164306,0.047619047619047616,0.0,0.0,0.0
7,0.9030705073670255,0.7719871241265605,0.0,0.4708487084870849,0.5213864306784661,0.5759803921568627,0.47961630695443647,0.4591584158415842,0.4446494464944649,0.4921875,0.16710875331564987,0.7591036414565826,0.5800711743772242,0.5764872521246459,0.047619047619047616,0.018518518518518517,0.0,0.0
8,0.8952471063172169,0.809142188338183,0.0,0.46346863468634686,0.5176991150442478,0.5563725490196079,0.486810551558753,0.4591584158415842,0.45018450184501846,0.453125,0.13793103448275862,0.7899159663865546,0.6209964412811388,0.509915014164306,0.047619047619047616,0.0,0.0,0.0
9,0.8917467392495706,0.8025098753190175,0.0,0.46494464944649444,0.5213864306784661,0.5563725490196079,0.4988009592326139,0.4628712871287129,0.44649446494464945,0.4609375,0.1830238726790451,0.7689075630252101,0.5960854092526691,0.5283286118980169,0.05714285714285714,0.046296296296296294,0.0,0.0
10,0.8923247232472324,0.8131848780526851,0.0,0.4738007380073801,0.5309734513274337,0.5649509803921569,0.5059952038369304,0.4715346534653465,0.45940959409594095,0.46875,0.20689655172413793,0.7759103641456583,0.6067615658362989,0.5368271954674221,0.08571428571428572,0.009259259259259259,0.0,0.0
11,0.8960762960065132,0.8132577754348972,0.0,0.4612546125461255,0.5147492625368731,0.5490196078431373,0.4892086330935252,0.45544554455445546,0.44649446494464945,0.4765625,0.23607427055702918,0.7436974789915967,0.6672597864768683,0.4518413597733711,0.08571428571428572,0.0,0.0,0.0
12,0.8789698862023585,0.8453412305516266,0.0,0.46346863468634686,0.5272861356932154,0.5490196078431373,0.4940047961630695,0.46410891089108913,0.466789667896679,0.4765625,0.29708222811671087,0.7647058823529411,0.6334519572953736,0.4546742209631728,0.0761904761904762,0.0,0.0,0.0
13,0.8699675662506281,0.7835257707415785,0.0,0.4664206642066421,0.5361356932153393,0.5698529411764706,0.5107913669064749,0.46782178217821785,0.44649446494464945,0.4765625,0.2413793103448276,0.7072829131652661,0.6903914590747331,0.5212464589235127,0.06666666666666667,0.0,0.0,0.0
14,0.9065674364608816,0.7995132627985809,0.0,0.47601476014760147,0.5250737463126843,0.5723039215686274,0.4940047961630695,0.46534653465346537,0.4575645756457565,0.46875,0.3103448275862069,0.7535014005602241,0.5160142348754448,0.56657223796034,0.10476190476190476,0.0,0.007194244604316547,0.0
15,0.9031730205881446,0.783394043790545,0.0,0.4782287822878229,0.5294985250737463,0.5723039215686274,0.5035971223021583,0.47277227722772275,0.4483394833948339,0.5,0.26525198938992045,0.7507002801120448,0.5427046263345195,0.5779036827195467,0.1523809523809524,0.0,0.007194244604316547,0.0
16,0.8861283473169927,0.7848272138228942,0.0,0.46789667896678966,0.528023598820059,0.5674019607843137,0.4892086330935252,0.474009900990099,0.4483394833948339,0.4453125,0.22546419098143236,0.8151260504201681,0.5587188612099644,0.5070821529745042,0.09523809523809523,0.0,0.007194244604316547,0.0
17,0.9137173110861544,0.7639078504949953,0.0,0.48044280442804427,0.525811209439528,0.5796568627450981,0.5083932853717026,0.46534653465346537,0.44280442804428044,0.4921875,0.14588859416445624,0.7170868347338936,0.5871886120996441,0.6260623229461756,0.20952380952380953,0.009259259259259259,0.014388489208633094,0.0
18,0.9019345369758351,0.8321349557522123,0.0,0.47158671586715867,0.5228613569321534,0.553921568627451,0.486810551558753,0.474009900990099,0.46309963099630996,0.4609375,0.20954907161803712,0.7703081232492998,0.5854092526690391,0.5226628895184136,0.18095238095238095,0.009259259259259259,0.007194244604316547,0.0
