epoch,gender_fairness,age_fairness,gender_male,gender_female,age_child_(0-12),age_teen_(13-19),age_young_adult_(20-40),age_adult_(41-60),age_senior_(60+)
1,0.9714161220043573,0.7137376320926163,0.704225352112676,0.6840958605664488,0.7427385892116183,0.6209677419354839,0.6949458483754513,0.7109704641350211,0.5301204819277109
2,0.9840541417512632,0.6943425877422735,0.7128927410617552,0.7015250544662309,0.7634854771784232,0.6330645161290323,0.703971119133574,0.7236286919831224,0.5301204819277109
3,0.9904399570773583,0.7104588567034094,0.7258938244853738,0.7189542483660131,0.7800829875518672,0.6451612903225806,0.723826714801444,0.7320675105485233,0.5542168674698795
4,0.993102847856369,0.7048351718218521,0.7269772481040087,0.7320261437908496,0.7863070539419087,0.6491935483870968,0.740072202166065,0.7320675105485233,0.5542168674698795
5,0.9873125392028284,0.7410266064257028,0.7356446370530878,0.7450980392156863,0.7966804979253111,0.6532258064516129,0.7527075812274369,0.740506329113924,0.5903614457831325
6,0.9829503335804299,0.7259036144578314,0.7323943661971831,0.7450980392156863,0.7966804979253111,0.6411290322580645,0.7581227436823105,0.7362869198312236,0.5783132530120482
7,0.9858456969998843,0.7672763593233035,0.733477789815818,0.7440087145969498,0.8008298755186722,0.6330645161290323,0.7527075812274369,0.7362869198312236,0.6144578313253012
8,0.9887920063207596,0.7912162789977389,0.7399783315276273,0.7483660130718954,0.8070539419087137,0.6411290322580645,0.7563176895306859,0.7383966244725738,0.6385542168674698
9,0.9974741112146943,0.7991239561159326,0.7475622968580715,0.7494553376906318,0.8174273858921162,0.6532258064516129,0.7545126353790613,0.7341772151898734,0.6746987951807228
10,0.9989134314652007,0.8011573504063039,0.7497291440953413,0.7505446623093682,0.8153526970954357,0.6532258064516129,0.7635379061371841,0.7320675105485233,0.6746987951807228
11,0.9960243063733573,0.7953139179935649,0.7486457204767064,0.7516339869281046,0.8112033195020747,0.6451612903225806,0.7635379061371841,0.7383966244725738,0.6867469879518072
12,0.9873861895630714,0.7923697270471464,0.7432286023835319,0.7527233115468409,0.8091286307053942,0.6411290322580645,0.759927797833935,0.7362869198312236,0.6987951807228916
13,0.9859593309076334,0.7964541070834719,0.7432286023835319,0.7538126361655774,0.8049792531120332,0.6411290322580645,0.759927797833935,0.7426160337552743,0.6987951807228916
14,0.9831014056366169,0.8014632524110409,0.742145178764897,0.7549019607843137,0.8049792531120332,0.6451612903225806,0.7563176895306859,0.7447257383966245,0.6987951807228916
15,0.9788412823370772,0.804399203914089,0.7410617551462622,0.7570806100217865,0.8070539419087137,0.6491935483870968,0.7545126353790613,0.7447257383966245,0.6987951807228916
16,0.9690078935149357,0.8193880089559664,0.7388949079089924,0.7625272331154684,0.8070539419087137,0.6612903225806451,0.7545126353790613,0.7468354430379747,0.6867469879518072
17,0.9733311109259105,0.8243842773032589,0.7443120260021668,0.7647058823529411,0.8070539419087137,0.6653225806451613,0.7581227436823105,0.7552742616033755,0.6867469879518072
18,0.970428726203374,0.8307914089921443,0.7399783315276273,0.7625272331154684,0.8008298755186722,0.6653225806451613,0.7563176895306859,0.7531645569620253,0.6746987951807228
19,0.9677404461735447,0.8365272697040239,0.742145178764897,0.7668845315904139,0.8049792531120332,0.6733870967741935,0.759927797833935,0.7531645569620253,0.6746987951807228
20,0.9664077294448759,0.8386888388763857,0.7432286023835319,0.7690631808278867,0.8029045643153527,0.6733870967741935,0.7635379061371841,0.7573839662447257,0.6746987951807228
21,0.9636340510695552,0.8403225304318046,0.742145178764897,0.7701525054466231,0.8029045643153527,0.6774193548387096,0.7635379061371841,0.7552742616033755,0.6746987951807228
22,0.9650825421892502,0.8360021061108185,0.7443120260021668,0.7712418300653595,0.8070539419087137,0.6774193548387096,0.7671480144404332,0.7531645569620253,0.6746987951807228
23,0.9665269472973241,0.835079613893243,0.7464788732394366,0.7723311546840959,0.8112033195020747,0.6774193548387096,0.7635379061371841,0.7573839662447257,0.6867469879518072
24,0.963721353836374,0.8329493087557603,0.7443120260021668,0.7723311546840959,0.8132780082987552,0.6774193548387096,0.7617328519855595,0.7531645569620253,0.6867469879518072
25,0.9665664626981827,0.837907340355497,0.7475622968580715,0.7734204793028322,0.8132780082987552,0.6814516129032258,0.7653429602888087,0.7552742616033755,0.6867469879518072
26,0.9652070161964974,0.8400503258807028,0.7475622968580715,0.7745098039215687,0.8112033195020747,0.6814516129032258,0.7671480144404332,0.7573839662447257,0.6867469879518072
27,0.9763722094212076,0.8444184902876813,0.7551462621885157,0.7734204793028322,0.8132780082987552,0.6935483870967742,0.7653429602888087,0.7637130801687764,0.6867469879518072
